,Building ID,X36 NPV_x,Estimated Build Cost,Profit Including Build Cost,Latitude,Longitude,State,Number of Accounts,Street Address,Postal Code,Net Classification,Type
257,Bldg-482353,41445.64,46938.88,-5493.239999999998,33.909534,-84.459671,GA,1,3200 Windy Hill Rd SE,30339,Fiber Only,Office - Single Tenant
258,Bldg-491794,8075.13,13586.8,-5511.669999999999,33.7620987,-84.4171628,GA,1,261 Joseph E Lowery Blvd NW,30314,On-Net,Office - Multi Tenant
259,Bldg-115574,20714.45,26268.88,-5554.43,33.9949839,-84.5295066,GA,1,1800 Sandy Plains Ind Pkwy NE,30066,Fiber Only,Office - Multi Tenant
260,Bldg-511572,39904.369999999995,45530.32,-5625.950000000004,33.747549,-84.394025,GA,2,275 Pryor St SW,30303,Fiber Only,Office - Single Tenant
262,Bldg-200718,6952.31,12672.7,-5720.39,33.760591399999996,-84.3824595,GA,1,222 Piedmont Ave NE,30308,Fiber Only,Office - Single Tenant
263,Bldg-199593,7162.56,13235.5,-6072.94,33.756471600000005,-84.3911315,GA,1,84 Walton St NW,30303,Fiber Only,Office - Single Tenant
264,Bldg-403872,10023.4,16436.8,-6413.4,33.83985429999999,-84.3212507,GA,1,1800 Northeast Expy NE,30329,Fiber Only,Office - Multi Tenant
265,Bldg-200435,5780.48,12411.4,-6630.92,33.9421278,-84.1235382,GA,1,1523 Pleasant Hill Rd,30096,Fiber Only,Office - Single Tenant
266,Bldg-080110,12117.57,18882.1,-6764.529999999999,34.00013920000001,-84.1636178,GA,1,3620 Howell Ferry Rd,30096,On-Net,Hospital
267,Bldg-130358,8392.87,15172.6,-6779.73,33.961858,-84.095669,GA,1,1725 Breckinridge Plz,30096,Fiber Only,Office - Multi Tenant
268,Bldg-090465,26953.4,33775.6,-6822.199999999997,34.0204541,-84.31137790000001,GA,1,1515 Holcomb Woods Pkwy,30076,Fiber Only,Office - Single Tenant
269,Bldg-237446,24366.62,31294.0,-6927.380000000001,33.971466,-84.55250799999999,GA,1,823 Campbell Hill St NW,30060,Fiber Only,Hospital
270,Bldg-148106,16862.59,24191.2,-7328.610000000001,34.0853529,-84.2557068,GA,1,300 North Point Pkwy,30022,Fiber Only,Office - Multi Tenant
271,Bldg-488022,23820.4,31202.32,-7381.919999999998,34.0810549,-84.25660090000001,GA,1,900 N Point Pkwy,30005,Fiber Only,Office - Multi Tenant
272,Bldg-075781,9664.02,17172.7,-7508.68,33.906228000000006,-84.43011899999999,GA,1,6345 Powers Ferry Rd,30339,Stubbed,Hotel & Inn
273,Bldg-506904,7567.41,15116.8,-7549.389999999999,33.7445375,-84.5587181,GA,1,50 E Great Southwest Pkwy SW,30336,Fiber Only,Office - Multi Tenant
274,Bldg-517923,12651.67,20266.9,-7615.230000000001,33.770623,-84.4939127,GA,1,551 Harwell Rd NW,30318,Fiber Only,Office - Multi Tenant
275,Bldg-490438,8430.1,16532.8,-8102.699999999999,33.999343700000004,-84.58682519999999,GA,1,1300 Ernest W Barrett Pkwy NW,30144,Fiber Only,Neutral Data Center
276,Bldg-128449,9104.7,17442.1,-8337.399999999998,33.755438700000006,-84.3639005,GA,1,99 Krog St NE,30307,Fiber Only,Office - Multi Tenant
277,Bldg-511654,20988.35,29449.84,-8461.490000000002,33.7510544,-84.3921137,GA,1,130 Peachtree St SW,30303,Fiber Only,Office - Multi Tenant
278,Bldg-061830,14893.53,23499.4,-8605.87,34.0456367,-84.29878259999998,GA,1,100 North Point Ctr E,30022,Stubbed,Office - Multi Tenant
279,Bldg-514191,11722.25,20375.8,-8653.55,33.9435389,-84.1390402,GA,1,3950 Shackleford Rd,30096,Fiber Only,Office - Multi Tenant
280,Bldg-025438,17101.34,25890.16,-8788.82,33.9188617,-84.3450625,GA,1,219 Perimeter Center Pkwy NE,30346,Type 2,Carrier POP
281,Bldg-061767,8482.57,17373.7,-8891.130000000001,33.94878,-84.229716,GA,1,3150 Holcomb Bridge Rd,30071,Type 2,Office - Multi Tenant
282,Bldg-115630,12151.33,21071.5,-8920.17,33.9996997,-84.1639353,GA,1,3855 Pleasant Hill Rd,30096,Fiber Only,Hospital
283,Bldg-522412,13969.24,22974.1,-9004.859999999999,34.061172,-84.2644186,GA,0,4300 North Point Pkwy,30022,Fiber Only,Office - Multi Tenant
284,Bldg-511849,13429.7,22438.3,-9008.599999999999,33.8340989,-84.32931479999999,GA,1,1791 Tullie Cir NE,30329,Fiber Only,Office - Multi Tenant
285,Bldg-061957,15059.56,25206.4,-10146.840000000002,33.77028060000001,-84.5504907,GA,1,275 Riverside Pkwy,30168,Type 2,Retail - Single Tenant
286,Bldg-508411,13868.66,24183.1,-10314.439999999999,33.8289724,-84.49921590000001,GA,1,3670 Highlands Pkwy SE,30082,Fiber Only,Office - Multi Tenant
287,Bldg-438245,9914.21,20308.3,-10394.09,33.959298,-84.0980162,GA,1,2670 Breckinridge Blvd,30096,Fiber Only,Office - Multi Tenant
288,Bldg-495907,21051.15,31600.24,-10549.09,33.9620938,-84.2165927,GA,1,40 Technology Pkwy S,30092,Fiber Only,Office - Multi Tenant
289,Bldg-492557,11000.8,21666.7,-10665.900000000001,34.0517321,-84.3370354,GA,1,11130 Alpharetta Hwy,30076,Fiber Only,Office - Single Tenant
290,Bldg-031583,9973.72,21129.1,-11155.38,33.763071999999994,-84.397357,GA,1,350 Marietta St NW,30313,Type 2,Office - Multi Tenant
291,Bldg-493505,11155.9,22338.4,-11182.500000000002,33.704175899999996,-84.600802,GA,1,6445 Fulton Industrial Blvd SW,30336,Fiber Only,Office - Multi Tenant
292,Bldg-522316,13761.89,24967.12,-11205.23,33.844038,-84.242269,GA,1,2082 E Exchange Pl,30084,Fiber Only,Office - Single Tenant
293,Bldg-448733,16658.8,27904.0,-11245.2,34.041508799999995,-84.3443969,GA,1,675 Mansell Rd,30076,Fiber Only,Office - Multi Tenant
294,Bldg-484051,13427.17,24898.6,-11471.429999999998,34.054525899999994,-84.30663259999999,GA,1,2200 Encore Pkwy,30009,Fiber Only,Office - Multi Tenant
295,Bldg-115557,17520.67,29736.64,-12215.970000000001,34.0657285,-84.32359749999999,GA,1,11660 Alpharetta Hwy,30076,Fiber Only,Office - Multi Tenant
296,Bldg-267467,11551.47,23797.36,-12245.890000000001,34.014762,-84.167745,GA,1,4850 River Green Pkwy,30096,Fiber Only,Office - Multi Tenant
297,Bldg-519394,11771.23,24043.12,-12271.89,33.742095,-84.560968,GA,1,5275 Westgate Dr SW,30336,Fiber Only,Office - Multi Tenant
298,Bldg-109771,28387.43,41273.2,-12885.769999999997,34.0209501,-84.1668392,GA,1,4385 River Green Pkwy,30096,Fiber Only,Office - Multi Tenant
299,Bldg-267711,9211.19,22378.6,-13167.409999999998,34.062463,-84.16760140000001,GA,1,6465 E Johns Xing,30097,Fiber Only,Office - Multi Tenant
300,Bldg-200389,9837.38,23337.4,-13500.020000000002,34.023413299999994,-84.3065904,GA,1,1875 Old Alabama Rd Bldg 1100,30076,Fiber Only,Office - Single Tenant
301,Bldg-245119,11660.28,25501.36,-13841.08,33.84402,-84.284751,GA,1,3801 Briarcliff Rd NE,30345,Fiber Only,High School
302,Bldg-381395,24963.91,39037.6,-14073.689999999999,34.0275619,-84.5805927,GA,1,1000 Gutenberg Dr NW,30144,Fiber Only,Office - Multi Tenant
303,Bldg-458250,17586.49,31721.2,-14134.71,33.7186333,-84.58236459999999,GA,1,5800 Plummer Rd SW,30336,Fiber Only,Office - Multi Tenant
304,Bldg-491845,9536.27,23841.04,-14304.77,33.6115158,-84.4459379,GA,1,1699 Phoenix Pkwy,30349,Type 2,Office - Multi Tenant
305,Bldg-484430,17803.96,32147.2,-14343.240000000002,33.970755100000005,-84.1822438,GA,1,4555 S Berkeley Lake Rd,30071,Fiber Only,Office - Multi Tenant
306,Bldg-504830,41505.29,55939.12,-14433.830000000002,33.939827799999996,-84.50560809999999,GA,1,1775 Parkway Pl SE,30067,Fiber Only,Hotel & Inn
307,Bldg-483043,20543.35,34996.48,-14453.130000000005,34.014392,-84.060946,GA,1,950 Northbrook Pkwy,30024,Fiber Only,Office - Multi Tenant
308,Bldg-178829,74026.18,89412.64,-15386.460000000006,33.7338937,-84.39117390000001,GA,1,759 Pollard Blvd SW,30315,Fiber Only,Hotel & Inn
309,Bldg-494227,13715.62,29166.88,-15451.26,33.9840156,-84.0901306,GA,1,2160 Satellite Blvd,30097,Fiber Only,Office - Multi Tenant
310,Bldg-496053,9196.53,24661.0,-15464.47,33.6273028,-84.4519734,GA,1,1897 Sullivan Rd,30337,Fiber Only,Office - Multi Tenant
311,Bldg-132348,17169.78,32717.44,-15547.66,34.063573100000006,-84.3156693,GA,1,1100 Northmeadow Pkwy,30076,Fiber Only,Office - Multi Tenant
312,Bldg-138014,12273.41,28299.52,-16026.11,33.019478,-96.719107,GA,1,55 Ivan Allen Blvd NE,30308,Fiber Only,Office - Multi Tenant
313,Bldg-504932,12141.99,28301.44,-16159.449999999999,34.037040000000005,-84.340373,GA,1,610 Holcomb Bridge Rd,30076,Fiber Only,Retail - Single Tenant
314,Bldg-138016,28336.95,45425.2,-17088.249999999996,33.905475,-84.359976,GA,2,5565 Glenridge Connector,30342,Fiber Only,Office - Multi Tenant
316,Bldg-022927,27242.56,44660.32,-17417.76,33.8744277,-84.4698083,GA,2,3100 Cumberland Club Dr,30339,Fiber Only,Carrier POP
