Account ID,Industry,Vertical, Total BRR ,# Buildings on Net,# Buildings not on Net
Acct-000058,Media & Content,Internet Content & Software,967729.0,11.0,13
Acct-000801,IT Infrastructure,Cloud Service Provider,323653.18,11.0,5
Acct-000247,Other Industry,Transportation,29730.0,10.0,9
Acct-000173,IT Infrastructure,Colo/Hosting,376472.0,10.0,1
Acct-000296,Telecommunications,Regional Carrier/ISP,201354.0,10.0,1
Acct-001248,Media & Content,Internet Content & Software,574813.0,10.0,3
Acct-000060,IT Infrastructure,Colo/Hosting,369444.0,10.0,1
Acct-001116,Other Industry,Retail,47610.0,9.0,23
Acct-001361,Other Industry,Transportation,2330.0,9.0,62
Acct-001643,Other Industry,Retail,43210.0,9.0,15
Acct-000656,Telecommunications,Regional Carrier/ISP,35369.0,9.0,9
Acct-000292,Finance,Finance - Other,6593.12,9.0,55
Acct-001054,Media & Content,Internet Content & Software,242286.0,9.0,14
Acct-000094,Telecommunications,RLEC,748.0,9.0,1
Acct-000470,Telecommunications,National Carrier/ISP,180941.0,9.0,3
Acct-000175,Telecommunications,Regional Carrier/ISP,226920.0,9.0,1
Acct-000067,Telecommunications,Regional Carrier/ISP,50816.0,8.0,2
Acct-000604,Finance,Finance - Other,26159.0,8.0,1
Acct-000584,Telecommunications,National Carrier/ISP,62025.0,8.0,3
Acct-001487,Telecommunications,National Carrier/ISP,78186.38,8.0,1
Acct-001155,Healthcare,Hospital/Clinic,56494.0,8.0,2
Acct-000286,Telecommunications,Regional Carrier/ISP,16802.0,8.0,1
Acct-001125,Professional Services,Commercial Systems Integrator,195361.0,8.0,53
Acct-001360,Healthcare,Healthcare - Other,7065.16,8.0,1
Acct-001448,Telecommunications,National Carrier/ISP,34670.0,8.0,1
Acct-000745,Other Industry,Transportation,40357.0,7.0,111
Acct-000735,Energy & Manufacturing,Oil & Gas,45777.0,7.0,2
Acct-001369,Healthcare,Hospital/Clinic,9956.0,7.0,90
Acct-000523,Other Industry,Transportation,6984.0,7.0,25
Acct-002436,Other Industry,Hospitality,21737.0,7.0,36
Acct-000280,Media & Content,Media,40694.0,7.0,1
Acct-000723,Transportation & Logistics,Airlines,48682.0,7.0,2
Acct-001206,Research & Education,Higher Education,3006.0,7.0,1
Acct-000271,IT Infrastructure,Cloud Service Provider,408.0,7.0,3
Acct-000544,Finance,Finance - Other,289600.0,7.0,7
Acct-000333,Finance,Finance - Other,518767.0,7.0,2
Acct-000377,Media & Content,Internet Content & Software,94478.0,6.0,16
Acct-000946,Energy & Manufacturing,Manufacturing - Other,21728.0,6.0,4
Acct-000246,IT Infrastructure,Cloud Service Provider,98448.0,6.0,1
Acct-000183,Finance,Finance - Other,88182.0,6.0,1
Acct-001509,Media & Content,Media,77381.0,6.0,2
Acct-000511,Healthcare,Hospital/Clinic,111964.0,6.0,82
Acct-001260,Other Industry,Retail,267706.13,6.0,19
Acct-000949,IT Infrastructure,Cloud Service Provider,227329.0,6.0,11
Acct-001059,Other Industry,Real Estate / Construction,7745.0,6.0,7
Acct-000752,Energy & Manufacturing,Manufacturing - Other,4968.63,6.0,9
Acct-000142,IT Infrastructure,Cloud Service Provider,508059.0,6.0,7
Acct-003144,Healthcare,Hospital/Clinic,44625.22,5.0,85
Acct-000306,Professional Services,Consulting / Other Professional Services,21443.0,5.0,1
Acct-000385,Telecommunications,Regional Carrier/ISP,9348.34,5.0,4
Acct-000480,Finance,Finance - Other,326673.0,5.0,1
Acct-002482,Other Industry,Retail,8145.0,5.0,1
Acct-000560,Healthcare,Healthcare - Other,41209.0,5.0,9
Acct-000314,Media & Content,Media,138723.0,5.0,4
Acct-000488,Telecommunications,National Carrier/ISP,145210.0,5.0,1
Acct-000141,IT Infrastructure,Cloud Service Provider,149155.0,5.0,4
Acct-001386,Government,Federal Government,32663.02,5.0,8
Acct-000185,Finance,Finance - Other,7756.0,5.0,2
Acct-000364,Media & Content,Internet Content & Software,162567.0,5.0,3
Acct-000593,Professional Services,Consulting / Other Professional Services,19255.4,5.0,1
Acct-000182,IT Infrastructure,Cloud Service Provider,29727.0,5.0,1
Acct-002263,Healthcare,Pharmaceuticals / BioTech,62049.0,5.0,18
